Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (29976334),Saquon Barkley,29976334,CPT,16800,SEA@NYG 10/02/2023 08:15PM ET,NYG,18.25
RB,Kenneth Walker III (29976335),Kenneth Walker III,29976335,CPT,16200,SEA@NYG 10/02/2023 08:15PM ET,SEA,19.9
QB,Geno Smith (29976336),Geno Smith,29976336,CPT,15000,SEA@NYG 10/02/2023 08:15PM ET,SEA,17.21
QB,Daniel Jones (29976337),Daniel Jones,29976337,CPT,14400,SEA@NYG 10/02/2023 08:15PM ET,NYG,15.39
WR,DK Metcalf (29976338),DK Metcalf,29976338,CPT,13200,SEA@NYG 10/02/2023 08:15PM ET,SEA,15.8
WR,Tyler Lockett (29976339),Tyler Lockett,29976339,CPT,12000,SEA@NYG 10/02/2023 08:15PM ET,SEA,12.43
RB,Saquon Barkley (29976286),Saquon Barkley,29976286,FLEX,11200,SEA@NYG 10/02/2023 08:15PM ET,NYG,18.25
RB,Kenneth Walker III (29976287),Kenneth Walker III,29976287,FLEX,10800,SEA@NYG 10/02/2023 08:15PM ET,SEA,19.9
TE,Darren Waller (29976340),Darren Waller,29976340,CPT,10500,SEA@NYG 10/02/2023 08:15PM ET,NYG,8.4
QB,Geno Smith (29976288),Geno Smith,29976288,FLEX,10000,SEA@NYG 10/02/2023 08:15PM ET,SEA,17.21
QB,Daniel Jones (29976289),Daniel Jones,29976289,FLEX,9600,SEA@NYG 10/02/2023 08:15PM ET,NYG,15.39
RB,Matt Breida (29976341),Matt Breida,29976341,CPT,9600,SEA@NYG 10/02/2023 08:15PM ET,NYG,4.3
QB,Tommy DeVito (29976342),Tommy DeVito,29976342,CPT,9000,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
QB,Drew Lock (29976343),Drew Lock,29976343,CPT,9000,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
QB,Tyrod Taylor (29976344),Tyrod Taylor,29976344,CPT,9000,SEA@NYG 10/02/2023 08:15PM ET,NYG,0.22
WR,DK Metcalf (29976290),DK Metcalf,29976290,FLEX,8800,SEA@NYG 10/02/2023 08:15PM ET,SEA,15.8
WR,Isaiah Hodgins (29976345),Isaiah Hodgins,29976345,CPT,8700,SEA@NYG 10/02/2023 08:15PM ET,NYG,5.47
