Name,TeamAbbrev,AvgPointsPerGame,ProjMin,DKProjFPTs,jackProjFPTs
Cade Cunningham,DET,35.42,,,
Saddiq Bey,DET,34.81,,,
Jaden Ivey,DET,0.0,,,
Shaedon Sharpe,POR,0.0,,,
Jalen Duren,DET,0.0,,,
Killian Hayes,DET,22.0,,,
Keon Johnson,POR,20.3,,,
Trendon Watford,POR,17.12,,,
Isaiah Stewart,DET,0.0,,,
Didi Louzada,POR,13.6,,,
Brandon Williams,POR,0.0,,,
Jabari Walker,POR,0.0,,,
Braxton Key,DET,14.35,,,
Greg Brown,POR,19.15,,,
Josh Gray,POR,13.56,,,
Saben Lee,DET,27.5,,,
Luka Garza,POR,33.4,,,
Craig Randall II,POR,0.0,,,
Isaiah Livers,DET,0.0,,,
George King,POR,21.75,,,
Buddy Boeheim,DET,0.0,,,
Jimmy Boeheim,DET,0.0,,,
Justin Turner,DET,7.81,,,
Charlie Moore,DET,0.0,,,
Balsa Koprivica,DET,6.12,,,
Stanley Umude,DET,0.0,,,
Kyle Foster,DET,0.0,,,
Jules Bernard,DET,0.0,,,
Kameron McGusty,DET,0.0,,,
Anthony Tarke,DET,12.75,,,
Kyle Alexander,POR,28.75,,,
Romello White,POR,0.0,,,
Colbey Ross,POR,7.62,,,
