Name,TeamAbbrev,AvgPointsPerGame,ProjMin,DKProjFPTs,jackProjFPTs
Anthony Tarke,DET,12.75,,,7.73
Balsa Koprivica,DET,6.12,,,5.46
Brandon Williams,POR,0,,,18.86
Braxton Key,DET,14.35,,,14.9
Buddy Boeheim,DET,0,,,6.34
Cade Cunningham,DET,35.42,,,0
Charlie Moore,DET,0,,,4.19
Colbey Ross,POR,7.62,,,6.27
Craig Randall II,POR,0,,,4.66
Didi Louzada,POR,13.6,,,11.35
George King,POR,21.75,,,9.67
Greg Brown,POR,19.15,,,16.45
Isaiah Livers,DET,0,,,13.91
Isaiah Stewart,DET,0,,,15
Jabari Walker,POR,0,,,16.62
Jaden Ivey,DET,0,,,22.51
Jalen Duren,DET,0,,,16.01
Jimmy Boeheim,DET,0,,,6.51
Josh Gray,POR,13.56,,,8.13
Jules Bernard,DET,0,,,4.36
Justin Turner,DET,7.81,,,4.73
Kameron McGusty,DET,0,,,4.38
Keon Johnson,POR,20.3,,,19.15
Killian Hayes,DET,22,,,15.79
Kyle Alexander,POR,28.75,,,5.15
Kyle Foster,DET,0,,,4.72
Luka Garza,POR,33.4,,,13.06
Romello White,POR,0,,,4.81
Saben Lee,DET,27.5,,,13.41
Saddiq Bey,DET,34.81,,,0
Shaedon Sharpe,POR,0,,,20.94
Stanley Umude,DET,0,,,5.33
Trendon Watford,POR,17.12,,,17.89
