first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Josh,Allen,QB,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,11400,16,2.7,19,28.1,22.1,1.94,,
Stefon,Diggs,WR,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,10600,1,4.6,12.9,26.4,18.3,1.73,,
Aaron,Rodgers,QB,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,9800,9,11.7,13.3,16.6,17.3,1.77,,
Garrett,Wilson,WR,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,10400,13,4.8,11.3,17.9,16.2,1.56,,
James,Cook,RB,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,8000,15,1.3,7.6,17.8,12.7,1.59,,
Gabe,Davis,WR,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,7200,1,5.4,12.1,26.3,11.9,1.65,,
Dalvin,Cook,RB,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,7800,10,3.7,12.4,28,11,1.41,,
Allen,Lazard,WR,Q,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,6400,13,1.7,9.9,14.1,9.6,1.5,,
Breece,Hall,RB,Q,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,8200,10,13.2,19.6,30.7,8.6,1.05,,
Tyler,Bass,K,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,4200,25,,,,8.3,1.98,,
Greg,Zuerlein,K,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,4000,5,,,,8.1,2.03,,
Dawson,Knox,TE,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,4400,28,9.3,13.3,21.8,8,1.82,,
Tyler,Conklin,TE,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,4800,10,1.9,6.9,14,7.5,1.56,,
Dalton,Kincaid,TE,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,5000,28,,,,6.9,1.38,,
Damien,Harris,RB,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,5400,15,1.6,6.8,11.3,6.6,1.22,,
Randall,Cobb,WR,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,3400,13,1.5,4.9,9.9,6.5,1.91,,
Mecole,Hardman Jr.,WR,Q,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,3000,13,3.7,15.4,28,6.4,2.13,,
Bills,,DST,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,3800,31,1,8.4,19,6.2,1.63,,
Jets,,DST,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,3600,18,1,4,6,5.4,1.5,,
Khalil,Shakir,WR,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,2400,1,2,4.7,8.1,3.6,1.5,,
Deonte,Harty,WR,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,200,1,-1,2.6,6.3,3.5,17.5,,
C.J.,Uzomah,TE,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,800,10,1.7,6.7,18.1,3.4,4.25,,
Michael,Carter,RB,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,2000,10,2.5,4.6,10,3,1.5,,
Trent,Sherfield,WR,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,200,1,1.7,6.2,14.5,2.7,13.5,,
Latavius,Murray,RB,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,1000,15,6.1,14.1,24.2,2.2,2.2,,
Israel,Abanikanda,RB,Q,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,1200,10,,,,1.6,1.33,,
Quintin,Morris,TE,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,200,28,1.3,3.9,8.4,1,5,,
Reggie,Gilliam,RB,,1,9/11/2023,BUF vs NYJ,BUF,NYJ,-1.5,44.5,23,200,15,1.7,4.5,9.7,0.8,4,,
Jeremy,Ruckert,TE,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,200,10,1.8,1.8,1.8,0.5,2.5,,
Jason,Brownlee,WR,,1,9/11/2023,BUF vs NYJ,NYJ,BUF,1.5,44.5,21.5,200,13,,,,0.2,1,,
